type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Cat,Domestic Lh,Brn Tabby/White,Spayed,KITTN,K22-042619,LOBBY,A413398,2022-09-27,2022-12-13,77,Stray,PHONE,Adoption,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,1,2022-08-27T00:00:00.000,*MISSY,94952,11138,*PETALUMA,2022
Dog,Pomeranian/Mix,Tan,Spayed,TOY,K15-013253,TRUCK,A318342,2015-03-20,2015-03-20,0,Stray,FIELD,Return To Owner,FLD_IDTAG,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,1,2014-03-20T00:00:00.000,CHARLIE,95401,26075,SANTA ROSA,2015
Cat,Domestic Lh,Gray,Female,SMALL,K15-012613,CA03,A316285,2015-01-29,2015-02-19,21,Confiscate,FLD_CORONR,Euthanize,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,1,,,95409,26080,SANTA ROSA,2015
Dog,Chihuahua Sh,Tan/White,Male,SMALL,K21-038978,DS95,A405734,2021-07-06,2021-07-17,11,Stray,FIELD,Return To Owner,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,1,2018-07-06T00:00:00.000,BIGGIE,95401,26075,SANTA ROSA,2021
Cat,Domestic Sh,Calico/White,Female,SMALL,K17-023421,SMM,A352548,2017-05-10,2017-05-19,9,Stray,OVER THE COUNTER,Euthanize,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,1,,,,,,2017
Other,Rabbit Sh,Black/White,Neutered,SMALL,K21-037941,CA01,A402559,2021-02-18,2021-08-05,168,Stray,OVER THE COUNTER,Transfer,RP SHELTER,HEALTHY,HEALTHY,SANTA ROSA,1,2019-02-18T00:00:00.000,*SEVEN,94928,1829,*ROHNERT PARK,2021
Dog,Parson Russ Ter,White/Red,Neutered,SMALL,K14-010664,DS69,A022504,2014-09-07,2014-09-09,2,Confiscate,FLD_ARREST,Return To Owner,FLD_PRVS,HEALTHY,HEALTHY,COUNTY,1,2005-01-01T00:00:00.000,TANNER,94931,1832,COUNTY,2014
Cat,Domestic Sh,Blue Pt,Spayed,KITTN,K15-014382,LOBBY,A322789,2015-06-09,2015-06-23,14,Stray,COMM CAT,Adoption,WALKIN,HEALTHY,HEALTHY,COUNTY,1,2015-04-23T00:00:00.000,*ANGEL,95448,31016,*HEALDSBURG,2015
Dog,Chihuahua Sh,Red/White,Neutered,SMALL,K16-019644,DA46,A339338,2016-07-07,2016-07-23,16,Stray,FIELD,Adoption,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,1,2015-07-15T00:00:00.000,*MONROE,95446,23755,COUNTY,2016
Dog,Pit Bull,Black/White,Spayed,MED,K18-029831,DS68,A375946,2018-09-11,2018-10-11,30,Stray,OVER THE COUNTER,Euthanize,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,1,2016-11-05T00:00:00.000,ROXY,,,,2018
Dog,Poodle Min/Cairn Terrier,White/Black,Spayed,SMALL,K15-016413,DA08,A328383,2015-10-15,2015-10-31,16,Stray,PRIV_SHELT,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2014-04-22T00:00:00.000,NUTMEG,95407,26079,SANTA ROSA,2015
Cat,Domestic Sh,Brn Tabby,Spayed,KITTN,K19-032769,LOBBY,A389074,2019-06-27,2019-07-25,28,Stray,OVER THE COUNTER,Adoption,FB SCAS,HEALTHY,HEALTHY,SANTA ROSA,1,2019-03-27T00:00:00.000,*TUESDAY,95403,26076,SANTA ROSA,2019
Dog,Labrador Retr/Mix,Black,Neutered,LARGE,K19-034215,DS83,A393258,2019-10-22,2019-10-23,1,Stray,FIELD,Return To Owner,OVER THE COUNTER_IDTAG,HEALTHY,HEALTHY,SANTA ROSA,1,2017-10-22T00:00:00.000,KAGE,95124,11858,OUT OF COUNTY,2019
